metode;size;bit;pca ;tipe kernel;c;acc
bsif;15x15;10;0,2;linear;1;97,76
bsif;17x17;6;0,2;linear;1;97,76
bsif;17x17;5;0,4;linear;100;97,76
bsif;17x17;5;0,4;linear;10;97,708
bsif;13x13;12;0,4;linear;1;97,656
bsif;11x11;10;0,4;linear;1;97,656
bsif;11x11;9;0,4;linear;100;97,604
bsif;11x11;9;0,4;linear;1;97,604
bsif;11x11;9;0,4;linear;10;97,604
bsif;11x11;10;0,4;linear;10;97,604
bsif;11x11;10;0,4;linear;100;97,604
bsif;15x15;5;1;linear;100;97,5
bsif;15x15;5;1;linear;10;97,5
bsif;15x15;5;1;linear;1;97,5
bsif;17x17;5;0,2;linear;1;97,5
bsif;13x13;12;0,4;linear;100;97,5
bsif;13x13;12;0,4;linear;10;97,5
bsif;11x11;11;0,6;linear;1;97,5
bsif;15x15;5;0,8;linear;100;97,448
bsif;15x15;5;0,8;linear;10;97,448
bsif;15x15;5;0,8;linear;1;97,448
bsif;13x13;6;0,8;linear;100;97,448
bsif;13x13;6;0,8;linear;10;97,448
bsif;13x13;6;0,8;linear;1;97,448
bsif;17x17;6;0,2;linear;100;97,448
bsif;17x17;6;0,2;linear;10;97,448
bsif;15x15;5;0,6;linear;100;97,448
bsif;11x11;11;0,6;linear;10;97,448
bsif;13x13;6;1;linear;100;97,396
bsif;13x13;6;1;linear;10;97,396
bsif;13x13;6;1;linear;1;97,396
bsif;15x15;5;0,6;linear;10;97,396
bsif;15x15;5;0,6;linear;1;97,396
bsif;11x11;11;0,6;linear;100;97,396
bsif;17x17;5;0,2;linear;10;97,292
bsif;13x13;6;0,6;linear;100;97,24
bsif;13x13;6;0,6;linear;10;97,24
bsif;13x13;6;0,6;linear;1;97,24
bsif;17x17;5;0,2;linear;100;97,24
bsif;9x9;10;0,4;linear;10;97,24
bsif;9x9;10;0,4;linear;1;97,24
bsif;11x11;12;1;linear;100;97,188
bsif;11x11;12;1;linear;10;97,188
bsif;11x11;12;1;linear;1;97,188
bsif;11x11;12;0,8;linear;100;97,135
bsif;11x11;12;0,8;linear;10;97,135
bsif;11x11;12;0,8;linear;1;97,135
bsif;9x9;10;0,4;linear;100;97,135
bsif;17x17;12;0,2;linear;100;97,083
bsif;17x17;12;0,2;linear;10;97,031
bsif;17x17;7;0,2;linear;100;96,979
bsif;17x17;7;0,2;linear;10;96,979
bsif;13x13;8;0,4;linear;1;96,979
bsif;15x15;5;0,4;linear;100;96,979
bsif;15x15;5;0,4;linear;10;96,979
bsif;15x15;5;0,4;linear;1;96,979
bsif;17x17;12;0,2;linear;1;96,927
bsif;11x11;12;0,6;linear;10;96,927
bsif;17x17;7;0,2;linear;1;96,875
bsif;9x9;9;0,8;linear;100;96,875
bsif;9x9;9;0,8;linear;10;96,875
bsif;9x9;9;0,8;linear;1;96,875
bsif;11x11;12;0,6;linear;1;96,875
bsif;13x13;8;0,4;linear;100;96,875
bsif;15x15;11;0,2;linear;1;96,875
bsif;9x9;9;1;linear;100;96,823
bsif;9x9;9;1;linear;10;96,823
bsif;9x9;9;1;linear;1;96,823
bsif;11x11;12;0,6;linear;100;96,823
bsif;13x13;8;0,4;linear;10;96,823
bsif;15x15;9;0,2;linear;100;96,771
bsif;15x15;9;0,2;linear;10;96,771
bsif;15x15;9;0,2;linear;1;96,771
bsif;15x15;6;0,4;linear;1;96,771
