metode;size;bit;pca;tipe kernel;c;acc
mtcd+bsif;13x13;12;0,4;linear;1;99,896
mtcd+bsif;13x13;11;0,4;linear;100;99,896
mtcd+bsif;13x13;11;0,4;linear;10;99,896
mtcd+bsif;13x13;11;0,4;linear;1;99,896
mtcd+bsif;13x13;9;1;linear;100;99,896
mtcd+bsif;13x13;9;0,8;linear;100;99,896
mtcd+bsif;13x13;9;0,6;linear;100;99,896
mtcd+bsif;13x13;9;0,4;linear;100;99,896
mtcd+bsif;13x13;9;1;linear;10;99,896
mtcd+bsif;13x13;9;0,8;linear;10;99,896
mtcd+bsif;13x13;9;0,6;linear;10;99,896
mtcd+bsif;13x13;9;0,4;linear;10;99,896
mtcd+bsif;13x13;9;1;linear;1;99,896
mtcd+bsif;13x13;9;0,8;linear;1;99,896
mtcd+bsif;13x13;9;0,6;linear;1;99,896
mtcd+bsif;13x13;9;0,4;linear;1;99,896
mtcd+bsif;15x15;7;1;linear;100;99,844
mtcd+bsif;15x15;7;0,8;linear;100;99,844
mtcd+bsif;15x15;7;0,6;linear;100;99,844
mtcd+bsif;15x15;7;0,4;linear;100;99,844
mtcd+bsif;15x15;7;1;linear;10;99,844
mtcd+bsif;15x15;7;0,8;linear;10;99,844
mtcd+bsif;15x15;7;0,6;linear;10;99,844
mtcd+bsif;15x15;7;0,4;linear;10;99,844
mtcd+bsif;15x15;7;1;linear;1;99,844
mtcd+bsif;15x15;7;0,8;linear;1;99,844
mtcd+bsif;15x15;7;0,6;linear;1;99,844
mtcd+bsif;15x15;7;0,4;linear;1;99,844
mtcd+bsif;17x17;10;1;rbf;100;99,844
mtcd+bsif;17x17;10;0,8;rbf;100;99,844
mtcd+bsif;17x17;10;0,6;rbf;100;99,844
mtcd+bsif;17x17;10;0,4;rbf;100;99,844
mtcd+bsif;17x17;10;0,2;rbf;100;99,844
mtcd+bsif;17x17;10;1;rbf;10;99,844
mtcd+bsif;17x17;10;0,8;rbf;10;99,844
mtcd+bsif;17x17;10;0,6;rbf;10;99,844
mtcd+bsif;17x17;10;0,4;rbf;10;99,844
mtcd+bsif;17x17;10;0,2;rbf;10;99,844
mtcd+bsif;17x17;11;1;rbf;1;99,844
mtcd+bsif;17x17;11;0,8;rbf;1;99,844
mtcd+bsif;17x17;11;0,6;rbf;1;99,844
mtcd+bsif;17x17;11;0,4;rbf;1;99,844
mtcd+bsif;15x15;9;1;rbf;1;99,844
mtcd+bsif;15x15;9;0,8;rbf;1;99,844
mtcd+bsif;15x15;9;0,6;rbf;1;99,844
mtcd+bsif;15x15;10;0,4;rbf;1;99,844
mtcd+bsif;13x13;12;1;rbf;100;99,844
mtcd+bsif;13x13;12;0,8;rbf;100;99,844
mtcd+bsif;13x13;12;0,6;rbf;100;99,844
mtcd+bsif;13x13;12;1;rbf;10;99,844
mtcd+bsif;13x13;12;0,8;rbf;10;99,844
mtcd+bsif;13x13;12;0,6;rbf;10;99,844
mtcd+bsif;15x15;11;1;rbf;100;99,844
mtcd+bsif;15x15;11;0,8;rbf;100;99,844
mtcd+bsif;15x15;11;0,6;rbf;100;99,844
mtcd+bsif;15x15;11;0,4;rbf;100;99,844
mtcd+bsif;15x15;11;1;rbf;10;99,844
mtcd+bsif;15x15;11;0,8;rbf;10;99,844
mtcd+bsif;15x15;11;0,6;rbf;10;99,844
mtcd+bsif;15x15;11;0,4;rbf;10;99,844
mtcd+bsif;13x13;8;0,6;linear;100;99,844
mtcd+bsif;13x13;8;0,6;linear;10;99,844
mtcd+bsif;13x13;8;0,6;linear;1;99,844
mtcd+bsif;15x15;8;1;linear;100;99,844
mtcd+bsif;15x15;8;0,8;linear;100;99,844
mtcd+bsif;15x15;8;0,6;linear;100;99,844
mtcd+bsif;15x15;8;1;linear;10;99,844
mtcd+bsif;15x15;8;0,8;linear;10;99,844
mtcd+bsif;15x15;8;0,6;linear;10;99,844
mtcd+bsif;15x15;8;1;linear;1;99,844
mtcd+bsif;15x15;8;0,8;linear;1;99,844
mtcd+bsif;15x15;8;0,6;linear;1;99,844
mtcd+bsif;9x9;8;1;linear;100;99,844
mtcd+bsif;9x9;8;0,8;linear;100;99,844
mtcd+bsif;9x9;8;0,6;linear;100;99,844
mtcd+bsif;9x9;8;1;linear;10;99,844
mtcd+bsif;9x9;8;0,8;linear;10;99,844
mtcd+bsif;9x9;8;0,6;linear;10;99,844
mtcd+bsif;9x9;8;1;linear;1;99,844
mtcd+bsif;9x9;8;0,8;linear;1;99,844
mtcd+bsif;9x9;8;0,6;linear;1;99,844
mtcd+bsif;9x9;7;0,6;linear;100;99,844
mtcd+bsif;9x9;7;0,6;linear;10;99,844
mtcd+bsif;9x9;7;0,6;linear;1;99,844
mtcd+bsif;15x15;5;1;linear;100;99,844
mtcd+bsif;15x15;5;0,8;linear;100;99,844
mtcd+bsif;15x15;5;0,6;linear;100;99,844
mtcd+bsif;15x15;5;1;linear;10;99,844
mtcd+bsif;15x15;5;0,8;linear;10;99,844
mtcd+bsif;15x15;5;0,6;linear;10;99,844
mtcd+bsif;15x15;5;1;linear;1;99,844
mtcd+bsif;15x15;5;0,8;linear;1;99,844
mtcd+bsif;15x15;5;0,6;linear;1;99,844
mtcd+bsif;13x13;6;1;linear;100;99,844
mtcd+bsif;13x13;6;0,8;linear;100;99,844
mtcd+bsif;13x13;6;0,6;linear;100;99,844
mtcd+bsif;13x13;6;1;linear;10;99,844
mtcd+bsif;13x13;6;0,8;linear;10;99,844
mtcd+bsif;13x13;6;0,4;linear;10;99,844
mtcd+bsif;13x13;6;1;linear;1;99,844
mtcd+bsif;13x13;6;0,8;linear;1;99,844
mtcd+bsif;13x13;6;0,6;linear;1;99,844
mtcd+bsif;11x11;9;0,4;linear;100;99,844
mtcd+bsif;11x11;9;0,4;linear;10;99,844
mtcd+bsif;11x11;9;0,4;linear;1;99,844
mtcd+bsif;17x17;12;1;rbf;100;99,844
mtcd+bsif;17x17;12;0,8;rbf;100;99,844
mtcd+bsif;17x17;12;0,6;rbf;100;99,844
mtcd+bsif;17x17;12;1;rbf;10;99,844
mtcd+bsif;17x17;12;0,8;rbf;10;99,844
mtcd+bsif;17x17;12;0,6;rbf;10;99,844
mtcd+bsif;17x17;9;0,2;rbf;100;99,844
mtcd+bsif;17x17;9;0,2;rbf;10;99,844
mtcd+bsif;17x17;8;1;rbf;100;99,844
mtcd+bsif;17x17;8;0,8;rbf;100;99,844
mtcd+bsif;17x17;8;0,6;rbf;100;99,844
mtcd+bsif;17x17;8;0,4;rbf;100;99,844
mtcd+bsif;17x17;8;1;rbf;10;99,844
mtcd+bsif;17x17;8;0,8;rbf;10;99,844
mtcd+bsif;17x17;8;0,6;rbf;10;99,844
mtcd+bsif;17x17;8;0,4;rbf;10;99,844
mtcd+bsif;15x15;10;0,2;linear;10;99,844
mtcd+bsif;15x15;10;0,2;rbf;1;99,844
mtcd+bsif;15x15;6;1;linear;100;99,844
mtcd+bsif;15x15;6;0,8;linear;100;99,844
mtcd+bsif;15x15;6;0,6;linear;100;99,844
mtcd+bsif;15x15;6;0,4;linear;100;99,844
mtcd+bsif;15x15;6;1;linear;10;99,844
mtcd+bsif;15x15;6;0,8;linear;10;99,844
mtcd+bsif;15x15;6;0,6;linear;10;99,844
mtcd+bsif;15x15;6;0,4;linear;10;99,844
mtcd+bsif;15x15;6;1;linear;1;99,844
mtcd+bsif;15x15;6;0,8;linear;1;99,844
mtcd+bsif;15x15;6;0,6;linear;1;99,844
mtcd+bsif;15x15;6;0,4;linear;1;99,844
mtcd+bsif;13x13;9;1;rbf;100;99,844
mtcd+bsif;13x13;9;0,8;rbf;100;99,844
mtcd+bsif;13x13;9;0,6;rbf;100;99,844
mtcd+bsif;13x13;9;1;rbf;10;99,844
mtcd+bsif;13x13;9;0,8;rbf;10;99,844
mtcd+bsif;13x13;9;0,6;rbf;10;99,844
mtcd+bsif;13x13;5;1;linear;100;99,844
mtcd+bsif;13x13;5;0,8;linear;100;99,844
mtcd+bsif;13x13;5;0,6;linear;100;99,844
mtcd+bsif;13x13;5;1;linear;10;99,844
mtcd+bsif;13x13;5;0,8;linear;10;99,844
mtcd+bsif;13x13;5;0,6;linear;10;99,844
mtcd+bsif;13x13;5;1;linear;1;99,844
mtcd+bsif;13x13;5;0,8;linear;1;99,844
mtcd+bsif;13x13;5;0,6;linear;1;99,844
mtcd+bsif;13x13;5;0,4;linear;1;99,844
mtcd+bsif;11x11;5;1;linear;100;99,844
mtcd+bsif;11x11;5;0,8;linear;100;99,844
mtcd+bsif;11x11;5;1;linear;10;99,844
mtcd+bsif;11x11;5;0,8;linear;10;99,844
mtcd+bsif;11x11;5;1;linear;1;99,844
mtcd+bsif;11x11;5;0,8;linear;1;99,844
mtcd+bsif;15x15;12;1;linear;100;99,844
mtcd+bsif;15x15;12;0,8;linear;100;99,844
mtcd+bsif;15x15;12;0,4;linear;100;99,844
mtcd+bsif;15x15;12;1;linear;10;99,844
mtcd+bsif;15x15;12;0,8;linear;10;99,844
mtcd+bsif;15x15;12;0,4;linear;10;99,844
mtcd+bsif;15x15;12;1;linear;1;99,844
mtcd+bsif;15x15;12;0,8;linear;1;99,844
mtcd+bsif;15x15;12;0,4;linear;1;99,844
mtcd+bsif;15x15;9;0,2;linear;100;99,792
mtcd+bsif;15x15;9;0,2;linear;10;99,792
mtcd+bsif;15x15;9;0,2;linear;1;99,792
mtcd+bsif;17x17;8;0,2;linear;100;99,792
mtcd+bsif;17x17;8;0,2;linear;10;99,792
mtcd+bsif;15x15;9;0,2;rbf;100;99,792
