metode;size;bit;pca;tipe kernel;c;acc
bsif+mtcd;11x11;9;-;linear;1;99,896
bsif+mtcd;11x11;9;0,8;linear;1;99,896
bsif+mtcd;11x11;9;0,6;linear;1;99,896
bsif+mtcd;11x11;7;-;linear;100;99,896
bsif+mtcd;11x11;7;0,8;linear;100;99,896
bsif+mtcd;11x11;7;0,6;linear;100;99,896
bsif+mtcd;11x11;7;0,4;linear;100;99,896
bsif+mtcd;11x11;7;-;linear;10;99,896
bsif+mtcd;11x11;7;0,8;linear;10;99,896
bsif+mtcd;11x11;7;0,6;linear;10;99,896
bsif+mtcd;11x11;7;-;linear;1;99,896
bsif+mtcd;11x11;7;0,8;linear;1;99,896
bsif+mtcd;11x11;7;0,6;linear;1;99,896
bsif+mtcd;11x11;7;0,4;linear;1;99,896
bsif+mtcd;17x17;11;-;rbf;100;99,896
bsif+mtcd;17x17;11;0,8;rbf;100;99,896
bsif+mtcd;17x17;11;0,6;rbf;100;99,896
bsif+mtcd;17x17;11;0,4;rbf;100;99,896
bsif+mtcd;17x17;11;0,2;rbf;100;99,896
bsif+mtcd;17x17;11;-;rbf;10;99,896
bsif+mtcd;17x17;11;0,8;rbf;10;99,896
bsif+mtcd;17x17;11;0,6;rbf;10;99,896
bsif+mtcd;17x17;11;0,4;rbf;10;99,896
bsif+mtcd;17x17;11;0,2;rbf;10;99,896
bsif+mtcd;15x15;10;-;rbf;100;99,896
bsif+mtcd;15x15;10;0,8;rbf;100;99,896
bsif+mtcd;15x15;10;0,6;rbf;100;99,896
bsif+mtcd;15x15;10;0,4;rbf;100;99,896
bsif+mtcd;15x15;10;0,2;rbf;100;99,896
bsif+mtcd;15x15;10;-;rbf;10;99,896
bsif+mtcd;15x15;10;0,8;rbf;10;99,896
bsif+mtcd;15x15;10;0,6;rbf;10;99,896
bsif+mtcd;15x15;10;0,4;rbf;10;99,896
bsif+mtcd;15x15;10;0,2;rbf;10;99,896
bsif+mtcd;15x15;10;-;rbf;1;99,896
bsif+mtcd;15x15;10;0,8;rbf;1;99,896
bsif+mtcd;15x15;10;0,6;rbf;1;99,896
bsif+mtcd;15x15;9;-;rbf;100;99,896
bsif+mtcd;15x15;9;0,8;rbf;100;99,896
bsif+mtcd;15x15;9;0,6;rbf;100;99,896
bsif+mtcd;15x15;9;0,4;rbf;100;99,896
bsif+mtcd;15x15;9;-;rbf;10;99,896
bsif+mtcd;15x15;9;0,8;rbf;10;99,896
bsif+mtcd;15x15;9;0,6;rbf;10;99,896
bsif+mtcd;15x15;9;0,4;rbf;10;99,896
bsif+mtcd;13x13;10;-;rbf;100;99,896
bsif+mtcd;13x13;10;0,8;rbf;100;99,896
bsif+mtcd;13x13;10;0,6;rbf;100;99,896
bsif+mtcd;13x13;10;0,4;rbf;100;99,896
bsif+mtcd;13x13;10;-;rbf;10;99,896
bsif+mtcd;13x13;10;0,8;rbf;10;99,896
bsif+mtcd;13x13;10;0,6;rbf;10;99,896
bsif+mtcd;13x13;10;0,4;rbf;10;99,896
bsif+mtcd;11x11;10;-;linear;100;99,896
